4197cd86	4016e059	00000000	00000000	420f77ad	00000000	00000000	00000000
42acce03	00000000	00000000	423d6dda	3f4a0cbc	42be4c59	4386d8f0	00000000
443a5023	43269ab3	42cd77ee	00000000	4311ac89	43eeda03	43fa5815	43b0cc07
00000000	4268f42c	00000000	4154137a	00000000	00000000	00000000	00000000
00000000	00000000	00000000	42d4c5c0	00000000	00000000	435f18b7	00000000
436b4db2	3dcaec6a	00000000	4224ce5a	42dc6e5b	43d9e66b	438f3d67	41cfe52d
42d97ba6	00000000	423cd7bb	00000000	42eca108	00000000	00000000	00000000
42ed2875	00000000	00000000	432cec1a	00000000	00000000	43d72ca5	00000000
4428a80d	00000000	00000000	00000000	44012fa1	44280bb2	43f818a2	00000000
43f2b654	00000000	428ce2f6	00000000	43a73e01	00000000	429f5b53	00000000
43a3822b	00000000	00000000	4281898b	42c4f5f0	00000000	42ea52b0	00000000
43968c13	00000000	00000000	4296592c	428f86f6	4124deb2	42bbdb29	00000000
43843cbd	00000000	00000000	430252e5	4142d806	418e3da6	42b41ef5	00000000
437c7607	00000000	00000000	42f49d65	00000000	419c21b0	4237c1d1	00000000
436beb66	00000000	00000000	4314dd1a	00000000	40104013	4206424c	00000000
43840aee	41772468	00000000	43028760	00000000	420f7171	4147dfb9	00000000
438cd11c	420cc67b	00000000	42e76893	00000000	42058032	3ece325e	00000000
4393935c	41cc480c	00000000	42cafdb8	00000000	427c2ca2	41db52ae	00000000
4388339b	00000000	00000000	43016849	00000000	4255c4bb	420e7a84	00000000
435e42c8	00000000	00000000	433c5568	00000000	4100fad9	41eb9a1b	00000000
43595d36	00000000	00000000	434e38b6	00000000	00000000	41fbe8fd	00000000
4377ca68	00000000	00000000	432d2bfb	00000000	40feba02	41e0fb9b	00000000
437227d7	00000000	00000000	432f7f15	00000000	41a67fbb	42785642	00000000
436cabfa	00000000	00000000	43401b43	00000000	429a222f	42d9b2d6	00000000
4360210d	00000000	00000000	43364fd7	00000000	40ffa0e2	42935589	00000000
43502c31	00000000	00000000	43358609	00000000	00000000	429b213d	00000000
435bd0a7	00000000	00000000	43315a33	00000000	00000000	4287ac9c	00000000
436a5a09	00000000	00000000	433fd55b	00000000	00000000	4240b09f	00000000
4361d7e5	00000000	00000000	433fd726	00000000	00000000	41c51c79	00000000
4344f142	00000000	00000000	432e2717	00000000	00000000	424e25f0	00000000
433ce6c4	00000000	00000000	43508793	00000000	00000000	42b495df	00000000
432506d7	00000000	00000000	436f62cd	00000000	00000000	42948d56	00000000
432ea536	00000000	00000000	434def58	00000000	00000000	42b17a60	00000000
43387761	00000000	00000000	4324d5ea	00000000	00000000	4294a5f6	00000000
431e3138	00000000	00000000	434a3449	00000000	00000000	42abb7ea	00000000
43106eca	00000000	00000000	4351620f	00000000	00000000	42abcd15	00000000
43090633	00000000	00000000	434b378a	00000000	00000000	42a9e3b3	00000000
42cff470	00000000	00000000	43645cbc	00000000	00000000	4276f4f4	00000000
4290018e	00000000	00000000	436c874d	00000000	00000000	4258cee3	00000000
42e00e77	00000000	00000000	43540fec	00000000	00000000	421159c5	00000000
430dcdb8	00000000	00000000	4269a92d	422d32a3	00000000	40623e2e	00000000
00000000	00000000	00000000	432def4a	426bf834	00000000	426b5236	00000000
00000000	00000000	42053859	43f00127	00000000	00000000	434d02b7	00000000
00000000	00000000	4333430a	43bef340	00000000	00000000	4328c08b	00000000
00000000	00000000	4385b160	43b0b5dd	00000000	00000000	421464fc	00000000
00000000	41843acb	4303fb22	426873c0	00000000	00000000	00000000	00000000
4214c266	42a27520	00000000	00000000	00000000	419d44df	00000000	00000000
4339a1fd	42521dc4	00000000	00000000	42801722	42bd51d8	433834d5	3f7709c8
444992ae	43402ae2	00000000	00000000	433d6946	43ee161a	43f3ce82	43834f88
00000000	417b20d9	00000000	4229dfe5	00000000	00000000	00000000	00000000
42c4df0e	00000000	00000000	41be6ee0	42447d74	42a957dc	4382f495	00000000
43943f28	00000000	4106e460	00000000	42d005bf	438ef141	42d71098	00000000
413794f0	00000000	00000000	42658758	42d18e1b	00000000	00000000	00000000
439e4af7	00000000	40c8dc60	4146a5ee	4291a0a9	43adfa4a	441e83ba	42b1bb30
44382141	00000000	00000000	00000000	4407b0bf	43a36858	431a739d	00000000
43b50aac	00000000	00000000	00000000	4323e2be	00000000	421bfe99	00000000
4399a475	00000000	00000000	42951e2a	427750fb	40cb202a	42fd3caf	00000000
4390f6cc	00000000	00000000	42b03b3c	4285632e	00000000	42b59cd0	00000000
4377ca2e	00000000	00000000	431093a3	00000000	00000000	42ad5f52	00000000
43676139	00000000	00000000	431a70df	00000000	00000000	4238e290	00000000
4363c732	00000000	00000000	432f8987	00000000	00000000	4295bae2	00000000
4383a528	00000000	00000000	4314af25	00000000	4216fb5a	42a90901	00000000
438d1354	00000000	00000000	4310975b	00000000	428c93f9	42bfe931	00000000
4394752a	00000000	00000000	42fb7688	00000000	429c26f7	42a32b4c	00000000
4386f4f3	00000000	00000000	43080b61	00000000	423a1aa3	423ec173	00000000
435ef45f	00000000	00000000	43361522	00000000	00000000	4262b643	00000000
436303c5	00000000	00000000	434f5d85	00000000	41ab41f9	42b52a76	00000000
437a74e6	00000000	00000000	432cc540	00000000	41e87591	42bd9e23	00000000
4381d766	00000000	00000000	4318771c	40c6766e	42012470	42dfa8e1	00000000
4375e718	00000000	00000000	432cd085	00000000	401814b9	429cd5fd	00000000
43484ada	00000000	00000000	435460bc	00000000	00000000	417c257b	00000000
4356f1c5	00000000	00000000	4348a037	00000000	00000000	42810ac6	00000000
4383172b	00000000	00000000	43412b29	00000000	4235c101	42c6a8b5	00000000
43714968	00000000	00000000	433eedad	00000000	422ba389	42fc8549	00000000
4361fa10	00000000	00000000	43460925	00000000	41d81332	42d0d559	00000000
4351148c	00000000	00000000	435ab81c	00000000	00000000	42e53c1f	00000000
434f5393	00000000	00000000	433aefc9	412b959f	4181eb39	42d6c1f9	00000000
4324dfe8	00000000	00000000	435ee303	00000000	00000000	42d5bf72	00000000
4330f47e	00000000	00000000	43641735	00000000	00000000	42c7dbcd	00000000
433cbcdb	00000000	00000000	43470ad4	00000000	00000000	42912835	00000000
431f425d	00000000	00000000	43481898	00000000	00000000	4289b983	00000000
430e6f20	00000000	00000000	435277bc	00000000	00000000	427e1916	00000000
43011cc0	00000000	00000000	43460509	00000000	00000000	4224d47b	00000000
42c189c6	00000000	00000000	434ec94d	00000000	00000000	420c5174	00000000
428b20b5	00000000	00000000	435efdd9	00000000	00000000	421cc756	00000000
42b12595	00000000	00000000	4369c739	00000000	00000000	41e641d4	00000000
43039355	00000000	00000000	4318c43b	00000000	00000000	00000000	00000000
421834e5	00000000	00000000	42eb5bf7	421e4533	00000000	41a151f2	00000000
00000000	00000000	00000000	43b48f02	00000000	00000000	4322fae1	00000000
00000000	00000000	42681e4f	438b5060	408cffcf	00000000	437ad97c	00000000
00000000	00000000	432c5cf1	43b04fcd	00000000	00000000	42e155ff	00000000
00000000	00000000	439805f9	43a967f1	00000000	00000000	00000000	00000000
00000000	41f88976	424476c1	4266725b	00000000	41ce4d2c	00000000	00000000
436702c9	42ba4c50	00000000	00000000	3f401bda	428dbb87	43326a79	42c48031
4460c995	43722139	00000000	00000000	43a1af4a	441af593	43dc5c47	4381f534
420c5156	426baad3	00000000	00000000	00000000	41df5413	00000000	00000000
433b9cc4	42d87284	00000000	00000000	00000000	43495a11	4310d23c	408fe306
436495a0	429d3ce4	00000000	00000000	431c4dc7	41b52f17	00000000	00000000
4230a351	00000000	00000000	422824f6	00000000	00000000	42c63027	00000000
43ffb115	4272008e	00000000	00000000	42b35dcd	43b8502d	43e799fc	42961bef
442b07f6	40213bfd	00000000	00000000	43eba4ac	434eb127	00000000	00000000
438849d4	00000000	00000000	4294058c	41d40aaf	00000000	4180dbb9	00000000
4392d17c	00000000	00000000	4258f9ef	414da080	414b3d72	428e8afb	00000000
439501ed	00000000	00000000	4292832b	41e645e0	421cf93d	42525390	00000000
43752a64	00000000	00000000	430efbe1	00000000	00000000	428deaaa	00000000
437423d7	00000000	00000000	4315d428	00000000	00000000	42ccbec8	00000000
437c8954	00000000	00000000	43260630	4124603e	4217e132	43168447	00000000
43872a19	00000000	00000000	430cc248	422f3337	41fbf6c5	430c186e	00000000
